Host_Death_Time,Host_Build,Level,Waterflow_Death,Health_Pct,Location,Phantom_Count,Phantom_Build,Phantom_Death,Likely_Beaten
193.0,HYBRID,158.0,True,6.0,CENTER,2.0,PROC_CAST,True,1
235.0,PROC_MELEE,126.0,False,7.0,INNER,2.0,RAW_CAST,False,1
165.0,RAW_MELEE,171.0,False,6.0,INNER,2.0,PROC_CAST,True,1
118.0,PROC_CAST,173.0,True,8.0,CENTER,2.0,HYBRID,True,1
239.0,PROC_CAST,157.0,False,8.0,OUTER,1.0,,,1
102.0,PROC_CAST,127.0,True,6.0,INNER,2.0,RAW_MELEE,False,1
171.0,RAW_MELEE,133.0,True,6.0,CENTER,1.0,,,1
111.0,RAW_CAST,165.0,False,8.0,INNER,2.0,PROC_CAST,False,1
152.0,RAW_MELEE,136.0,False,6.0,INNER,2.0,RAW_MELEE,False,1
293.0,PROC_CAST,147.0,True,6.0,CENTER,2.0,RAW_MELEE,True,1
287.0,RAW_CAST,175.0,False,8.0,OUTER,1.0,,,1
206.0,HYBRID,158.0,False,7.0,OUTER,2.0,RAW_CAST,True,1
62.0,HYBRID,122.0,True,7.0,INNER,2.0,PROC_CAST,True,1
209.0,RAW_CAST,154.0,True,7.0,CENTER,1.0,,,1
198.0,PROC_MELEE,177.0,True,7.0,INNER,1.0,,,1
155.0,PROC_MELEE,120.0,False,6.0,CENTER,1.0,,,1
123.0,RAW_MELEE,123.0,False,6.0,INNER,1.0,,,1
236.0,RAW_MELEE,177.0,True,8.0,CENTER,1.0,,,1
63.0,HYBRID,123.0,False,7.0,OUTER,1.0,,,1
197.0,PROC_MELEE,156.0,True,7.0,CENTER,2.0,PROC_MELEE,True,1
284.0,PROC_CAST,163.0,True,7.0,OUTER,2.0,PROC_CAST,True,1
118.0,RAW_CAST,134.0,False,8.0,INNER,2.0,PROC_MELEE,True,1
118.0,PROC_MELEE,148.0,False,7.0,OUTER,2.0,PROC_CAST,True,1
143.0,RAW_MELEE,160.0,False,8.0,OUTER,1.0,,,1
190.0,HYBRID,175.0,True,8.0,OUTER,1.0,,,1
50.0,HYBRID,128.0,True,8.0,INNER,2.0,PROC_MELEE,True,1
252.0,PROC_CAST,145.0,True,7.0,CENTER,1.0,,,1
148.0,PROC_MELEE,142.0,True,7.0,OUTER,1.0,,,1
248.0,PROC_MELEE,155.0,False,6.0,CENTER,2.0,HYBRID,False,1
120.0,RAW_MELEE,129.0,True,8.0,OUTER,2.0,PROC_MELEE,True,1
78.0,PROC_MELEE,158.0,True,6.0,CENTER,2.0,PROC_CAST,True,1
284.0,RAW_MELEE,144.0,False,8.0,INNER,1.0,,,1
134.0,PROC_CAST,140.0,True,6.0,CENTER,1.0,,,1
276.0,HYBRID,167.0,False,6.0,OUTER,1.0,,,1
200.0,PROC_MELEE,141.0,True,7.0,INNER,2.0,HYBRID,True,1
195.0,RAW_CAST,138.0,True,8.0,INNER,2.0,RAW_CAST,False,1
274.0,PROC_CAST,159.0,True,7.0,INNER,1.0,,,1
241.0,PROC_CAST,174.0,False,6.0,INNER,2.0,HYBRID,True,1
262.0,PROC_MELEE,122.0,False,7.0,CENTER,1.0,,,1
251.0,HYBRID,137.0,False,6.0,INNER,2.0,RAW_MELEE,False,1
284.0,RAW_MELEE,137.0,False,8.0,INNER,2.0,PROC_CAST,False,1
285.0,RAW_MELEE,139.0,True,7.0,CENTER,2.0,HYBRID,True,1
132.0,PROC_MELEE,142.0,False,7.0,INNER,2.0,RAW_MELEE,True,1
216.0,RAW_MELEE,175.0,True,7.0,INNER,2.0,PROC_MELEE,True,1
114.0,PROC_CAST,155.0,True,7.0,CENTER,2.0,RAW_MELEE,True,1
283.0,HYBRID,148.0,False,6.0,CENTER,1.0,,,1
281.0,PROC_MELEE,132.0,True,7.0,CENTER,2.0,HYBRID,False,1
52.0,RAW_CAST,174.0,True,8.0,OUTER,1.0,,,1
275.0,RAW_MELEE,142.0,True,7.0,OUTER,1.0,,,1
87.0,RAW_CAST,137.0,False,8.0,OUTER,1.0,,,1
104.0,PROC_MELEE,163.0,True,8.0,INNER,1.0,,,1
208.0,PROC_MELEE,131.0,False,7.0,OUTER,2.0,PROC_MELEE,False,1
157.0,RAW_CAST,128.0,False,8.0,INNER,2.0,RAW_MELEE,True,1
74.0,PROC_MELEE,134.0,True,8.0,OUTER,2.0,HYBRID,True,1
223.0,HYBRID,170.0,False,8.0,CENTER,2.0,PROC_MELEE,True,1
92.0,RAW_CAST,133.0,False,7.0,INNER,2.0,RAW_CAST,False,1
211.0,PROC_MELEE,139.0,False,8.0,CENTER,2.0,RAW_MELEE,False,1
183.0,PROC_MELEE,135.0,True,8.0,CENTER,2.0,PROC_CAST,True,1
233.0,RAW_MELEE,177.0,False,6.0,CENTER,1.0,,,1
244.0,PROC_MELEE,172.0,True,6.0,INNER,2.0,PROC_CAST,True,1
142.0,PROC_MELEE,173.0,False,8.0,OUTER,2.0,PROC_MELEE,True,1
205.0,RAW_MELEE,133.0,True,7.0,CENTER,2.0,PROC_CAST,False,1
237.0,PROC_MELEE,165.0,False,7.0,CENTER,1.0,,,1
193.0,RAW_MELEE,144.0,True,6.0,INNER,2.0,RAW_CAST,False,1
239.0,RAW_CAST,129.0,True,7.0,INNER,2.0,PROC_MELEE,False,1
155.0,RAW_MELEE,178.0,False,7.0,INNER,2.0,PROC_CAST,True,1
239.0,HYBRID,178.0,True,7.0,INNER,2.0,RAW_MELEE,False,1
184.0,RAW_MELEE,156.0,False,8.0,CENTER,2.0,PROC_MELEE,True,1
69.0,RAW_MELEE,178.0,False,7.0,INNER,1.0,,,1
224.0,HYBRID,166.0,True,6.0,CENTER,2.0,HYBRID,True,1
269.0,PROC_CAST,135.0,True,6.0,INNER,2.0,PROC_MELEE,True,1
242.0,RAW_CAST,142.0,False,8.0,CENTER,2.0,PROC_MELEE,False,1
