Host_Death_Time,Waterflow_Death,Phase,Phantom Count
14,0,1,1
28,1,1,2
28,1,1,1
34,1,1,2
34,0,1,2
35,1,1,2
36,0,1,1
38,0,1,1
39,1,1,1
43,0,1,2
47,1,1,2
47,0,1,1
47,1,1,2
48,0,1,2
48,1,1,2
49,0,1,1
50,1,1,2
51,1,1,1
52,1,1,2
59,0,1,1
59,1,1,1
61,0,1,1
63,0,1,1
72,1,1,2
81,1,1,2
88,0,1,2
91,0,1,1
97,1,1,1
98,0,2,2
104,0,1,2
109,0,2,2
110,0,1,1
116,1,1,2
119,1,2,2
121,0,2,2
132,1,2,2
136,0,1,2
140,0,1,1
144,1,1,2
149,0,2,2
151,0,2,1
157,0,1,2
169,0,1,2
170,1,1,1
174,1,2,1
179,0,2,2
196,0,2,2
236,0,1,1
251,0,1,1
272,0,2,1
